board_rank,name,pos,team,bye,inj,proj_ppr,proj_half,proj_std,adp_ppr,adp_half,adp_std,adp_ppr_sleeper,adp_ppr_espn,adp_sources,gp,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,pass_int,sleeper_id,espn_id
299,Andy Borregales,K,NE,11,,96.0,96.0,96.0,193.2,229.6,157.2,193.2,,1,18,,,,,,,,,,12713,
300,Jacoby Brissett,QB,ARI,14,,197.8,160.0,160.0,194.3,196.7,186.7,243.0,169.8,3,18,,,,45,177,1.3,3170,16.5,9,3257,2578570
301,Jaylen Wright,RB,MIA,6,,44.9,41.1,38.1,194.6,185.7,179.8,247.9,170.6,3,18,7,47,0.2,57,238,1.6,,,,11643,
302,Marvin Mims,WR,DEN,10,,64.9,56.4,42.9,194.8,435.4,192.2,219.5,170.1,2,18,24,260,1.7,7,41,0.3,,,,9494,
303,Jake Tonges,TE,SF,8,Questionable,43.9,55.8,40.8,195.7,199.6,164.1,241.4,170.0,3,16,19,179,1.3,,,,,,,8698,
304,Indianapolis Colts,DEF,IND,13,,84.0,84.0,84.0,195.9,435.8,196.9,219.0,,2,1,,,,,,,,,,IND,
305,Mason Taylor,TE,NYJ,13,,83.4,76.4,56.4,197.2,418.8,137.5,224.3,170.0,2,18,37,334,2.2,,,,,,,12498,
306,Tua Tagovailoa,QB,ATL,11,Out,85.7,93.0,93.0,197.5,204.8,212.4,236.5,170.0,3,12,,,,12,30,0.2,1477,8.1,6,6768,4241479
307,Atlanta Falcons,DEF,ATL,11,,83.0,83.0,83.0,197.8,432.0,193.3,228.4,,2,1,,,,,,,,,,ATL,
308,Brashard Smith,RB,KC,5,,43.0,23.3,20.3,198.4,419.9,182.4,226.3,170.5,2,18,11,84,0.9,32,136,1.1,,,,12455,
309,Michael Penix,QB,ATL,11,Out,142.1,143.2,143.2,199.0,432.4,230.6,227.9,170.1,2,14,,,,26,95,1.1,2273,12.4,7,11559,
310,Sean Tucker,RB,TB,10,Doubtful,43.6,48.5,44.5,199.1,200.9,174.9,243.9,170.3,3,17,5,35,0.1,54,230,2.1,,,,9506,
311,Tory Horton,WR,SEA,11,Out,63.2,76.5,61.0,199.4,215.2,199.4,228.7,170.2,2,17,21,289,2.1,1,9,,,,,12497,
312,Troy Franklin,WR,DEN,10,,66.1,54.1,42.1,200.9,211.9,165.4,241.8,,2,18,24,287,2.0,2,14,,,,,11627,
313,Theo Johnson,TE,NYG,8,,69.4,61.5,46.0,201.1,216.4,144.2,232.2,170.1,2,18,28,305,1.8,,,,,,,11597,
314,Carolina Panthers,DEF,CAR,5,,81.0,81.0,81.0,201.9,412.1,199.7,238.4,,2,1,,,,,,,,,,CAR,
315,Tampa Bay Buccaneers,DEF,TB,10,,81.0,81.0,81.0,202.1,414.5,199.7,232.4,,2,1,,,,,,,,,,TB,
316,Shedeur Sanders,QB,CLE,11,,121.0,97.1,97.1,202.9,426.0,227.4,236.1,169.8,2,15,,,,29,136,1.5,1956,8.7,7,12524,
317,New York Giants,DEF,NYG,8,,86.0,86.0,86.0,203.6,432.0,177.7,238.6,,2,1,,,,,,,,,,NYG,
318,Jack Bech,WR,LV,13,,73.7,62.9,47.9,204.2,423.5,207.7,238.2,170.2,2,18,30,340,1.6,1,9,,,,,12483,
319,New Orleans Saints,DEF,NO,8,,77.0,77.0,77.0,205.2,432.3,204.2,244.6,,2,1,,,,,,,,,,NO,
320,Cincinnati Bengals,DEF,CIN,6,,79.0,79.0,79.0,206.4,410.2,206.5,241.2,,2,1,,,,,,,,,,CIN,
321,Tyler Bass,K,BUF,7,,120.0,103.0,103.0,208.4,332.6,221.9,299.0,169.4,3,18,,,,,,,,,,7042,3917232
322,Darnell Mooney,WR,NYG,8,,76.8,60.9,48.4,209.8,214.9,194.4,249.2,170.4,2,18,26,378,2.0,2,7,0.1,,,,7090,4040655
323,Nick Folk,K,ATL,11,,118.1,95.0,95.0,209.8,324.0,213.1,285.5,170.1,3,18,,,,,,,,,,650,10621
324,Cleveland Browns,DEF,CLE,11,,74.0,74.0,74.0,209.9,412.3,205.7,266.6,,2,1,,,,,,,,,,CLE,
325,Emanuel Wilson,RB,SEA,11,,33.6,51.0,45.5,210.2,217.9,160.6,250.3,170.2,2,12,6,48,0.1,37,151,1.2,,,,11435,
326,Devin Neal,RB,,,Questionable,31.9,28.4,24.9,211.9,685.9,168.5,211.9,,1,18,7,49,,39,160,1.0,,,,12476,
327,Las Vegas Raiders,DEF,LV,13,,65.0,65.0,65.0,217.7,421.5,224.9,279.3,,2,1,,,,,,,,,,LV,
328,Tennessee Titans,DEF,TEN,9,,67.0,67.0,67.0,219.8,425.1,220.6,270.2,,2,1,,,,,,,,,,TEN,
329,Tyreek Hill,WR,,,,93.7,77.2,60.7,225.7,226.8,145.9,225.7,,1,18,33,422,3.0,1,5,,,,,3321,3116406
330,Jaydon Blue,RB,PHI,10,,56.6,52.1,47.6,228.6,233.1,188.8,228.6,,1,18,9,67,,68,289,2.0,,,,12457,
331,Spencer Shrader,K,IND,13,,107.2,75.0,75.0,236.1,327.0,256.8,378.0,170.0,3,18,,,,,,,,,,12185,
